task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
141	5f/89ba78	15225	BCFTOOLS_QUAST	CACHED	0	2021-03-02 18:20:18.329	14.7s	11.5s	110.1%	137.7 MB	1.4 GB	443.6 MB	8.2 MB
148	b7/8ae43a	11153	VARSCAN2_SNPEFF (SAMPLE2_PE)	CACHED	0	2021-03-02 18:20:04.221	10.9s	7.7s	88.8%	122.1 MB	4 GB	40.5 MB	126.1 KB
147	59/3d64b1	5478	VARSCAN2_SNPEFF (SAMPLE1_PE)	CACHED	0	2021-03-02 18:19:42.549	11s	7.8s	87.6%	122.1 MB	4 GB	40.5 MB	115.8 KB
142	b1/7d651f	31190	IVAR_SNPEFF (SAMPLE3_SE)	CACHED	0	2021-03-02 18:19:21.131	10.9s	7.9s	102.9%	138.1 MB	4 GB	40.1 MB	541.1 KB
143	c8/b614ca	8555	IVAR_SNPEFF (SAMPLE2_PE)	CACHED	0	2021-03-02 18:19:53.799	10.8s	7.6s	87.6%	121.5 MB	4 GB	40.5 MB	122 KB
149	7e/8887a8	1527	VARSCAN2_SNPEFF (SAMPLE3_SE)	CACHED	0	2021-03-02 18:19:32.028	10.5s	7.6s	90.9%	130.4 MB	4 GB	40 MB	242.9 KB
145	33/3fdbda	32195	VARSCAN2_CONSENSUS (SAMPLE3_SE)	CACHED	0	2021-03-02 18:19:24.885	10.8s	7.5s	104.0%	386.8 MB	1002.2 MB	27.1 MB	2.9 MB
146	4e/6b22ac	11179	VARSCAN2_CONSENSUS (SAMPLE2_PE)	CACHED	0	2021-03-02 18:20:04.617	10.8s	7.4s	101.8%	386.7 MB	1002.9 MB	26.9 MB	2.9 MB
140	34/173874	8499	VARSCAN2_CONSENSUS (SAMPLE1_PE)	CACHED	0	2021-03-02 18:19:53.600	10.6s	7.5s	103.1%	386.7 MB	1003.2 MB	27.8 MB	3 MB
153	3e/418a55	17634	VARSCAN2_QUAST	CACHED	0	2021-03-02 18:20:30.194	14.5s	11.4s	114.0%	137.3 MB	1.4 GB	465.6 MB	8.2 MB
8	64/a9d0f2	27766	get_software_versions	COMPLETED	0	2021-03-04 10:48:51.082	8.6s	4.3s	150.0%	87.4 MB	4.9 GB	59.3 MB	122.7 KB
154	ba/d6a8e5	29053	MULTIQC (1)	COMPLETED	0	2021-03-04 10:48:59.796	1m 11s	1m 7s	98.6%	517.6 MB	1.1 GB	251.6 MB	32.1 MB
